iter	Passed	Remaining
0	137	137409
1	227	113478
2	287	95671
3	341	84957
4	400	79624
5	455	75465
6	507	72008
7	564	70012
8	618	68072
9	666	65989
10	712	64062
11	764	62972
12	820	62263
13	871	61344
14	932	61234
15	1009	62054
16	1049	60696
17	1085	59196
18	1118	57766
19	1158	56790
20	1206	56227
21	1251	55635
22	1301	55293
23	1345	54730
24	1397	54486
25	1444	54127
26	1643	59223
27	1693	58774
28	1749	58576
29	1797	58117
30	1847	57748
31	1890	57178
32	1938	56795
33	1976	56146
34	2022	55764
35	2068	55387
36	2110	54939
37	2152	54498
38	2199	54199
39	2241	53802
40	2282	53390
41	2321	52960
42	2365	52641
43	2408	52334
44	2461	52245
45	2502	51908
46	2537	51457
47	2575	51073
48	2609	50641
49	2644	50254
50	2674	49760
51	2704	49301
52	2733	48841
53	2770	48537
54	2804	48182
55	2841	47902
56	2877	47605
57	2912	47301
58	2946	46996
59	2985	46765
60	3016	46429
61	3050	46150
62	3086	45906
63	3120	45631
64	3151	45326
65	3181	45016
66	3210	44702
67	3244	44463
68	3275	44201
69	3306	43928
70	3337	43675
71	3371	43455
72	3406	43262
73	3444	43097
74	3474	42854
75	3506	42634
76	3539	42423
77	3570	42201
78	3600	41974
79	3634	41798
80	3678	41735
81	3711	41545
82	3740	41329
83	3772	41134
84	3804	40958
85	3836	40769
86	3866	40572
87	3893	40355
88	3924	40171
89	3955	39997
90	3994	39900
91	4023	39705
92	4054	39542
93	4083	39355
94	4113	39190
95	4145	39034
96	4175	38870
97	4213	38785
98	4251	38690
99	4292	38632
100	4337	38610
101	4379	38553
102	4426	38548
103	4464	38462
104	4500	38363
105	4547	38353
106	4594	38345
107	4737	39127
108	4785	39114
109	4818	38985
110	4854	38883
111	4892	38788
112	4924	38653
113	4955	38513
114	4985	38365
115	5018	38244
116	5063	38211
117	5099	38114
118	5135	38021
119	5171	37927
120	5212	37869
121	5251	37793
122	5288	37710
123	5326	37626
124	5359	37516
125	5396	37430
126	5430	37329
127	5478	37322
128	5517	37256
129	5557	37193
130	5593	37102
131	5635	37055
132	5679	37022
133	5715	36937
134	5754	36868
135	5788	36771
136	5824	36687
137	5858	36594
138	5890	36486
139	5932	36441
140	5983	36450
141	6034	36463
142	6098	36547
143	6146	36537
144	6196	36537
145	6246	36535
146	6279	36441
147	6324	36406
148	6404	36576
149	6490	36780
150	6578	36988
151	6609	36874
152	6639	36756
153	6674	36664
154	6704	36549
155	6735	36442
156	6764	36322
157	6793	36205
158	6835	36156
159	6913	36298
160	7018	36573
161	7102	36737
162	7216	37056
163	7270	37063
164	7307	36978
165	7339	36873
166	7370	36764
167	7406	36677
168	7437	36570
169	7466	36454
170	7500	36363
171	7535	36275
172	7565	36164
173	7598	36070
174	7630	35970
175	7660	35865
176	7690	35758
177	7723	35666
178	7753	35562
179	7782	35455
180	7815	35362
181	7844	35255
182	7873	35150
183	7904	35055
184	7933	34952
185	7963	34851
186	7993	34752
187	8026	34669
188	8056	34569
189	8087	34476
190	8120	34394
191	8148	34292
192	8181	34208
193	8214	34130
194	8247	34047
195	8279	33963
196	8316	33901
197	8368	33894
198	8399	33810
199	8429	33718
200	8459	33626
201	8489	33536
202	8523	33465
203	8558	33395
204	8595	33335
205	8632	33273
206	8664	33194
207	8697	33115
208	8728	33034
209	8759	32950
210	8789	32865
211	8824	32799
212	8857	32727
213	8896	32676
214	8929	32604
215	8963	32534
216	9001	32480
217	9033	32403
218	9067	32335
219	9106	32285
220	9142	32226
221	9179	32168
222	9218	32120
223	9260	32080
224	9296	32020
225	9331	31957
226	9371	31912
227	9414	31876
228	9444	31798
229	9472	31712
230	9606	31978
231	9680	32046
232	9718	31990
233	9754	31930
234	9791	31875
235	9830	31822
236	9865	31761
237	9904	31709
238	9941	31653
239	9976	31592
240	10015	31542
241	10052	31485
242	10089	31432
243	10127	31378
244	10170	31341
245	10206	31283
246	10244	31230
247	10304	31244
248	10381	31312
249	10416	31249
250	10451	31186
251	10492	31144
252	10527	31083
253	10561	31018
254	10595	30956
255	10628	30888
256	10668	30843
257	10709	30799
258	10751	30760
259	10784	30695
260	10821	30639
261	10855	30578
262	10888	30512
263	10927	30464
264	10986	30472
265	11056	30508
266	11112	30506
267	11147	30447
268	11186	30398
269	11222	30341
270	11264	30301
271	11313	30279
272	11348	30221
273	11389	30178
274	11423	30115
275	11457	30055
276	11496	30006
277	11538	29966
278	11570	29901
279	11613	29862
280	11655	29824
281	11687	29757
282	11718	29689
283	11755	29637
284	11786	29570
285	11820	29509
286	11856	29454
287	11885	29382
288	11922	29332
289	11959	29280
290	11992	29219
291	12022	29150
292	12055	29088
293	12091	29035
294	12135	29000
295	12172	28950
296	12205	28890
297	12237	28826
298	12270	28767
299	12304	28710
300	12340	28656
301	12375	28603
302	12414	28557
303	12448	28500
304	12489	28460
305	12523	28403
306	12558	28349
307	12596	28300
308	12632	28249
309	12668	28197
310	12703	28143
311	12742	28098
312	12787	28066
313	12823	28015
314	12857	27960
315	12900	27923
316	12935	27870
317	12969	27815
318	13003	27759
319	13043	27716
320	13079	27665
321	13116	27617
322	13151	27564
323	13189	27518
324	13222	27461
325	13258	27410
326	13299	27371
327	13340	27331
328	13404	27337
329	13464	27337
330	13498	27281
331	13535	27234
332	13571	27184
333	13658	27234
334	13779	27353
335	13845	27360
336	13884	27315
337	13923	27271
338	13959	27218
339	13993	27163
340	14027	27108
341	14062	27055
342	14100	27009
343	14135	26955
344	14170	26903
345	14214	26868
346	14252	26820
347	14288	26770
348	14329	26728
349	14369	26686
350	14419	26661
351	14459	26618
352	14496	26570
353	14534	26523
354	14572	26476
355	14610	26430
356	14649	26384
357	14684	26334
358	14727	26296
359	14764	26248
360	14802	26201
361	14847	26166
362	14909	26162
363	14957	26134
364	15000	26097
365	15047	26066
366	15090	26028
367	15130	25985
368	15170	25941
369	15210	25899
370	15577	26411
371	15706	26515
372	15745	26467
373	15789	26428
374	15838	26398
375	15914	26410
376	16206	26781
377	16353	26910
378	16505	27045
379	16545	26994
